date,transported_total,age_newborn,age_infant,age_youth,age_adult,age_elderly,age_unknown,sev_death,sev_severe,sev_moderate,sev_mild,sev_other,place_home,place_work1,place_work2,place_school,place_public_indoor,place_public_outdoor,place_road,place_other,japan_total
2015-05-01,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,82
2015-05-02,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,140
2015-05-03,1,0,0,1,0,0,0.0,0,0,0,1,0,,,,,,,,,78
2015-05-04,1,0,0,0,0,1,0.0,0,0,0,1,0,,,,,,,,,64
2015-05-05,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,54
2015-05-06,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,44
2015-05-07,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,42
2015-05-08,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,75
2015-05-09,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,14
2015-05-10,1,0,0,0,0,1,0.0,0,0,0,1,0,,,,,,,,,77
2015-05-11,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,37
2015-05-12,1,0,0,0,0,1,0.0,0,0,0,1,0,,,,,,,,,11
2015-05-13,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,62
2015-05-14,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,99
2015-05-15,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,140
2015-05-16,1,0,0,0,0,1,0.0,0,0,0,1,0,,,,,,,,,29
2015-05-17,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,132
2015-05-18,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,37
2015-05-19,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,46
2015-05-20,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,72
2015-05-21,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,43
2015-05-22,1,0,0,0,1,0,0.0,0,0,1,0,0,,,,,,,,,61
2015-05-23,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,87
2015-05-24,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,119
2015-05-25,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,79
2015-05-26,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,169
2015-05-27,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,264
2015-05-28,0,0,0,0,0,0,0.0,0,0,0,0,0,,,,,,,,,111
2015-05-29,11,0,0,3,1,7,0.0,0,1,3,7,0,,,,,,,,,151
2015-05-30,8,0,0,4,0,4,0.0,0,0,1,7,0,,,,,,,,,285
2015-05-31,1,0,0,0,1,0,0.0,0,0,0,1,0,,,,,,,,,200
2015-06-01,5,0,0,2,0,3,0.0,0,0,3,2,0,,,,,,,,,151
2015-06-02,1,0,0,0,0,1,0.0,0,1,0,0,0,,,,,,,,,144
2015-06-03,1,0,0,0,1,0,0.0,0,0,0,1,0,,,,,,,,,50
