year,month,market,arrivals
2015,1,総数,1218393
2015,2,総数,1386982
2015,3,総数,1525879
2015,4,総数,1764691
2015,5,総数,1641734
2015,6,総数,1602198
2015,7,総数,1918356
2015,8,総数,1817023
2015,9,総数,1612208
2015,10,総数,1829265
2015,11,総数,1647550
2015,12,総数,1773130
2015,1,アジア計,1018348
2015,2,アジア計,1200651
2015,3,アジア計,1243295
2015,4,アジア計,1463927
2015,5,アジア計,1384930
2015,6,アジア計,1363207
2015,7,アジア計,1620334
2015,8,アジア計,1570066
2015,9,アジア計,1362193
2015,10,アジア計,1527602
2015,11,アジア計,1390779
2015,12,アジア計,1500511
2015,1,韓国,358093
2015,2,韓国,321576
2015,3,韓国,268156
2015,4,韓国,304619
2015,5,韓国,315389
2015,6,韓国,251504
2015,7,韓国,343799
2015,8,韓国,390971
2015,9,韓国,301645
2015,10,韓国,370842
2015,11,韓国,359845
2015,12,韓国,415656
2015,1,中国,226214
2015,2,中国,359080
2015,3,中国,338121
2015,4,中国,405731
2015,5,中国,387170
2015,6,中国,462248
2015,7,中国,576868
2015,8,中国,591510
2015,9,中国,491201
2015,10,中国,445562
2015,11,中国,362950
2015,12,中国,347034
2015,1,台湾,217035
2015,2,台湾,277626
2015,3,台湾,277934
2015,4,台湾,335140
2015,5,台湾,339677
2015,6,台湾,345243
2015,7,台湾,361683
2015,8,台湾,313929
2015,9,台湾,302897
2015,10,台湾,343601
2015,11,台湾,296499
2015,12,台湾,265811
2015,1,香港,87742
2015,2,香港,109384
2015,3,香港,117223
2015,4,香港,119602
2015,5,香港,120626
2015,6,香港,137014
2015,7,香港,158712
2015,8,香港,141466
2015,9,香港,115242
2015,10,香港,129080
2015,11,香港,130776
2015,12,香港,157425
2015,1,タイ,44770
2015,2,タイ,44038
2015,3,タイ,92438
2015,4,タイ,117930
2015,5,タイ,81015
2015,6,タイ,43390
2015,7,タイ,51852
2015,8,タイ,31289
2015,9,タイ,34385
2015,10,タイ,86001
2015,11,タイ,76145
2015,12,タイ,93478
2015,1,シンガポール,11813
2015,2,シンガポール,16293
2015,3,シンガポール,23147
2015,4,シンガポール,24833
2015,5,シンガポール,24593
2015,6,シンガポール,29167
2015,7,シンガポール,17194
2015,8,シンガポール,12616
2015,9,シンガポール,18716
2015,10,シンガポール,25205
2015,11,シンガポール,38205
2015,12,シンガポール,67001
2015,1,マレーシア,12312
2015,2,マレーシア,19269
2015,3,マレーシア,28193
2015,4,マレーシア,29556
2015,5,マレーシア,25797
2015,6,マレーシア,18525
2015,7,マレーシア,19954
2015,8,マレーシア,12301
2015,9,マレーシア,21307
2015,10,マレーシア,28488
2015,11,マレーシア,39481
2015,12,マレーシア,50264
2015,1,インドネシア,9683
2015,2,インドネシア,8094
2015,3,インドネシア,19542
2015,4,インドネシア,23364
2015,5,インドネシア,18859
2015,6,インドネシア,17119
2015,7,インドネシア,25528
2015,8,インドネシア,9777
2015,9,インドネシア,12855
2015,10,インドネシア,16753
2015,11,インドネシア,14197
2015,12,インドネシア,29312
2015,1,フィリピン,14428
2015,2,フィリピン,14190
2015,3,フィリピン,26786
2015,4,フィリピン,36673
2015,5,フィリピン,27847
2015,6,フィリピン,18619
2015,7,フィリピン,16374
2015,8,フィリピン,14794
2015,9,フィリピン,15843
2015,10,フィリピン,25685
2015,11,フィリピン,24443
2015,12,フィリピン,32679
2015,1,ベトナム,12266
2015,2,ベトナム,9489
2015,3,ベトナム,18736
2015,4,ベトナム,28510
2015,5,ベトナム,12319
2015,6,ベトナム,13043
2015,7,ベトナム,15366
2015,8,ベトナム,13770
2015,9,ベトナム,15569
2015,10,ベトナム,21391
2015,11,ベトナム,14592
2015,12,ベトナム,10344
2015,1,インド,7771
2015,2,インド,5982
2015,3,インド,8228
2015,4,インド,9204
2015,5,インド,11328
2015,6,インド,8588
2015,7,インド,8294
2015,8,インド,8680
2015,9,インド,9098
2015,10,インド,9719
2015,11,インド,9507
2015,12,インド,6685
2015,1,イスラエル,671
2015,2,イスラエル,722
2015,3,イスラエル,3068
2015,4,イスラエル,4469
2015,5,イスラエル,1693
2015,6,イスラエル,1019
2015,7,イスラエル,1267
2015,8,イスラエル,1125
2015,9,イスラエル,3298
2015,10,イスラエル,2118
2015,11,イスラエル,1672
2015,12,イスラエル,806
2015,1,トルコ,924
2015,2,トルコ,955
2015,3,トルコ,1866
2015,4,トルコ,1822
2015,5,トルコ,1617
2015,6,トルコ,1304
2015,7,トルコ,1453
2015,8,トルコ,1414
2015,9,トルコ,1752
2015,10,トルコ,1515
2015,11,トルコ,1595
2015,12,トルコ,1057
2015,1,ヨーロッパ計,62847
2015,2,ヨーロッパ計,69706
2015,3,ヨーロッパ計,118398
2015,4,ヨーロッパ計,130460
2015,5,ヨーロッパ計,102667
2015,6,ヨーロッパ計,82754
2015,7,ヨーロッパ計,134217
2015,8,ヨーロッパ計,118791
2015,9,ヨーロッパ計,102847
2015,10,ヨーロッパ計,135290
2015,11,ヨーロッパ計,101704
2015,12,ヨーロッパ計,85289
2015,1,英国,15030
2015,2,英国,17770
2015,3,英国,25205
2015,4,英国,27049
2015,5,英国,19882
2015,6,英国,16839
2015,7,英国,26340
2015,8,英国,20466
2015,9,英国,22699
2015,10,英国,26221
2015,11,英国,21577
2015,12,英国,19410
2015,1,フランス,10035
2015,2,フランス,11951
2015,3,フランス,18090
2015,4,フランス,27146
2015,5,フランス,20324
2015,6,フランス,13500
2015,7,フランス,22304
2015,8,フランス,21199
2015,9,フランス,15276
2015,10,フランス,23871
2015,11,フランス,16277
2015,12,フランス,14255
2015,1,ドイツ,8325
2015,2,ドイツ,9815
2015,3,ドイツ,18374
2015,4,ドイツ,15661
2015,5,ドイツ,14340
2015,6,ドイツ,10537
2015,7,ドイツ,13845
2015,8,ドイツ,13405
2015,9,ドイツ,14542
2015,10,ドイツ,18840
2015,11,ドイツ,14723
2015,12,ドイツ,10173
2015,1,イタリア,4168
2015,2,イタリア,4680
2015,3,イタリア,8869
2015,4,イタリア,10402
2015,5,イタリア,7873
2015,6,イタリア,6410
2015,7,イタリア,9963
2015,8,イタリア,16658
2015,9,イタリア,8368
2015,10,イタリア,10192
2015,11,イタリア,7213
2015,12,イタリア,8402
2015,1,ロシア,4024
2015,2,ロシア,2781
2015,3,ロシア,5503
2015,4,ロシア,5207
2015,5,ロシア,4275
2015,6,ロシア,3756
2015,7,ロシア,5041
2015,8,ロシア,4826
2015,9,ロシア,4216
2015,10,ロシア,5230
2015,11,ロシア,5593
2015,12,ロシア,3913
2015,1,スペイン,2501
2015,2,スペイン,2806
2015,3,スペイン,6330
2015,4,スペイン,5469
2015,5,スペイン,5578
2015,6,スペイン,5269
2015,7,スペイン,9843
2015,8,スペイン,13520
2015,9,スペイン,7604
2015,10,スペイン,8381
2015,11,スペイン,5014
2015,12,スペイン,4871
2015,1,スウェーデン,2948
2015,2,スウェーデン,2662
2015,3,スウェーデン,5146
2015,4,スウェーデン,5230
2015,5,スウェーデン,3424
2015,6,スウェーデン,3685
2015,7,スウェーデン,5647
2015,8,スウェーデン,2640
2015,9,スウェーデン,3097
2015,10,スウェーデン,5170
2015,11,スウェーデン,3937
2015,12,スウェーデン,3391
2015,1,オランダ,2145
2015,2,オランダ,2478
2015,3,オランダ,4230
2015,4,オランダ,5037
2015,5,オランダ,4269
2015,6,オランダ,3201
2015,7,オランダ,7219
2015,8,オランダ,3765
2015,9,オランダ,4138
2015,10,オランダ,5730
2015,11,オランダ,4448
2015,12,オランダ,3313
2015,1,スイス,1677
2015,2,スイス,1849
2015,3,スイス,3773
2015,4,スイス,5476
2015,5,スイス,3402
2015,6,スイス,2325
2015,7,スイス,5573
2015,8,スイス,3024
2015,9,スイス,3259
2015,10,スイス,5025
2015,11,スイス,2696
2015,12,スイス,2319
2015,1,ベルギー,1046
2015,2,ベルギー,1435
2015,3,ベルギー,1982
2015,4,ベルギー,2582
2015,5,ベルギー,2083
2015,6,ベルギー,1520
2015,7,ベルギー,3467
2015,8,ベルギー,1910
2015,9,ベルギー,2045
2015,10,ベルギー,2865
2015,11,ベルギー,2039
2015,12,ベルギー,1380
2015,1,フィンランド,1501
2015,2,フィンランド,1401
2015,3,フィンランド,2323
2015,4,フィンランド,2370
2015,5,フィンランド,1739
2015,6,フィンランド,1863
2015,7,フィンランド,2565
2015,8,フィンランド,1196
2015,9,フィンランド,1478
2015,10,フィンランド,2113
2015,11,フィンランド,2234
2015,12,フィンランド,1872
2015,1,ポーランド,801
2015,2,ポーランド,1080
2015,3,ポーランド,1775
2015,4,ポーランド,2805
2015,5,ポーランド,2434
2015,6,ポーランド,1866
2015,7,ポーランド,2662
2015,8,ポーランド,2261
2015,9,ポーランド,2470
2015,10,ポーランド,3160
2015,11,ポーランド,2063
2015,12,ポーランド,919
2015,1,デンマーク,1196
2015,2,デンマーク,1224
2015,3,デンマーク,2578
2015,4,デンマーク,1934
2015,5,デンマーク,1565
2015,6,デンマーク,1530
2015,7,デンマーク,3428
2015,8,デンマーク,1195
2015,9,デンマーク,1483
2015,10,デンマーク,2733
2015,11,デンマーク,1709
2015,12,デンマーク,1142
2015,1,ノルウェー,1114
2015,2,ノルウェー,1112
2015,3,ノルウェー,2636
2015,4,ノルウェー,1448
2015,5,ノルウェー,1042
2015,6,ノルウェー,1558
2015,7,ノルウェー,3058
2015,8,ノルウェー,911
2015,9,ノルウェー,1307
2015,10,ノルウェー,1808
2015,11,ノルウェー,1349
2015,12,ノルウェー,1254
2015,1,オーストリア,1024
2015,2,オーストリア,1100
2015,3,オーストリア,1908
2015,4,オーストリア,1726
2015,5,オーストリア,1480
2015,6,オーストリア,1075
2015,7,オーストリア,1911
2015,8,オーストリア,1706
2015,9,オーストリア,1613
2015,10,オーストリア,1911
2015,11,オーストリア,1565
2015,12,オーストリア,1165
2015,1,ポルトガル,777
2015,2,ポルトガル,1004
2015,3,ポルトガル,1516
2015,4,ポルトガル,1571
2015,5,ポルトガル,1429
2015,6,ポルトガル,1318
2015,7,ポルトガル,2160
2015,8,ポルトガル,2240
2015,9,ポルトガル,1449
2015,10,ポルトガル,1769
2015,11,ポルトガル,1581
2015,12,ポルトガル,1852
2015,1,アイルランド,936
2015,2,アイルランド,930
2015,3,アイルランド,1399
2015,4,アイルランド,1372
2015,5,アイルランド,1097
2015,6,アイルランド,1014
2015,7,アイルランド,1543
2015,8,アイルランド,1184
2015,9,アイルランド,1241
2015,10,アイルランド,1357
2015,11,アイルランド,1169
2015,12,アイルランド,1076
2015,1,アフリカ計,1801
2015,2,アフリカ計,1746
2015,3,アフリカ計,3273
2015,4,アフリカ計,2689
2015,5,アフリカ計,2567
2015,6,アフリカ計,2093
2015,7,アフリカ計,3222
2015,8,アフリカ計,3328
2015,9,アフリカ計,3046
2015,10,アフリカ計,3346
2015,11,アフリカ計,2681
2015,12,アフリカ計,2126
2015,1,北アメリカ計,78654
2015,2,北アメリカ計,77636
2015,3,北アメリカ計,121592
2015,4,北アメリカ計,121420
2015,5,北アメリカ計,116842
2015,6,北アメリカ計,122846
2015,7,北アメリカ計,123765
2015,8,北アメリカ計,98376
2015,9,北アメリカ計,97967
2015,10,北アメリカ計,122333
2015,11,北アメリカ計,113534
2015,12,北アメリカ計,115641
2015,1,米国,62081
2015,2,米国,59157
2015,3,米国,95609
2015,4,米国,95891
2015,5,米国,92184
2015,6,米国,102103
2015,7,米国,98201
2015,8,米国,76926
2015,9,米国,76279
2015,10,米国,96208
2015,11,米国,88707
2015,12,米国,89912
2015,1,カナダ,14250
2015,2,カナダ,16304
2015,3,カナダ,21638
2015,4,カナダ,21868
2015,5,カナダ,20708
2015,6,カナダ,16725
2015,7,カナダ,19767
2015,8,カナダ,17758
2015,9,カナダ,17703
2015,10,カナダ,21902
2015,11,カナダ,20797
2015,12,カナダ,21970
2015,1,メキシコ,1694
2015,2,メキシコ,1678
2015,3,メキシコ,3561
2015,4,メキシコ,2931
2015,5,メキシコ,3229
2015,6,メキシコ,3356
2015,7,メキシコ,4790
2015,8,メキシコ,2826
2015,9,メキシコ,3139
2015,10,メキシコ,3319
2015,11,メキシコ,3115
2015,12,メキシコ,3170
2015,1,南アメリカ計,3998
2015,2,南アメリカ計,3257
2015,3,南アメリカ計,6102
2015,4,南アメリカ計,7308
2015,5,南アメリカ計,5424
2015,6,南アメリカ計,4353
2015,7,南アメリカ計,6684
2015,8,南アメリカ計,4511
2015,9,南アメリカ計,5734
2015,10,南アメリカ計,6517
2015,11,南アメリカ計,5442
2015,12,南アメリカ計,14868
2015,1,ブラジル,2303
2015,2,ブラジル,1709
2015,3,ブラジル,3423
2015,4,ブラジル,4467
2015,5,ブラジル,2804
2015,6,ブラジル,2152
2015,7,ブラジル,3697
2015,8,ブラジル,2072
2015,9,ブラジル,2795
2015,10,ブラジル,3332
2015,11,ブラジル,2485
2015,12,ブラジル,2778
2015,1,オセアニア計,52692
2015,2,オセアニア計,33925
2015,3,オセアニア計,33116
2015,4,オセアニア計,38807
2015,5,オセアニア計,29241
2015,6,オセアニア計,26891
2015,7,オセアニア計,30061
2015,8,オセアニア計,21880
2015,9,オセアニア計,40356
2015,10,オセアニア計,34113
2015,11,オセアニア計,33328
2015,12,オセアニア計,54616
2015,1,豪州,48583
2015,2,豪州,30303
2015,3,豪州,29178
2015,4,豪州,34060
2015,5,豪州,24827
2015,6,豪州,22695
2015,7,豪州,25396
2015,8,豪州,17878
2015,9,豪州,34712
2015,10,豪州,29621
2015,11,豪州,29463
2015,12,豪州,49359
2015,1,ニュージーランド,3932
2015,2,ニュージーランド,3474
2015,3,ニュージーランド,3558
2015,4,ニュージーランド,4545
2015,5,ニュージーランド,4022
2015,6,ニュージーランド,3820
2015,7,ニュージーランド,4344
2015,8,ニュージーランド,3740
2015,9,ニュージーランド,5299
2015,10,ニュージーランド,4137
2015,11,ニュージーランド,3542
2015,12,ニュージーランド,4989
2015,1,無国籍・その他,53
2015,2,無国籍・その他,61
2015,3,無国籍・その他,103
2015,4,無国籍・その他,80
2015,5,無国籍・その他,63
2015,6,無国籍・その他,54
2015,7,無国籍・その他,73
2015,8,無国籍・その他,71
2015,9,無国籍・その他,65
2015,10,無国籍・その他,64
2015,11,無国籍・その他,82
2015,12,無国籍・その他,79
2016,1,総数,1851895
2016,2,総数,1891375
2016,3,総数,2009550
2016,4,総数,2081697
2016,5,総数,1893574
2016,6,総数,1985722
2016,7,総数,2296451
2016,8,総数,2049234
2016,9,総数,1918246
2016,10,総数,2135904
2016,11,総数,1875404
2016,12,総数,2050648
2016,1,アジア計,1609529
2016,2,アジア計,1675569
2016,3,アジア計,1658047
2016,4,アジア計,1734776
2016,5,アジア計,1588223
2016,6,アジア計,1694543
2016,7,アジア計,1969084
2016,8,アジア計,1777302
2016,9,アジア計,1618407
2016,10,アジア計,1758625
2016,11,アジア計,1587947
2016,12,アジア計,1756814
2016,1,韓国,514889
2016,2,韓国,490845
2016,3,韓国,374057
2016,4,韓国,353660
2016,5,韓国,302088
2016,6,韓国,347365
2016,7,韓国,447008
2016,8,韓国,458927
