date,time,ward,location,latitude,longitude,situation
2017-04-15,12:00,南区,南区定山渓無番地宝来沢林道,42.95256919,141.1376693,ヒグマを目撃
2017-04-26,07:05,手稲区,手稲区自然歩道:手稲山北尾根ルｰト(金山入口から400m付近),43.11618347,141.1925099,ヒグマを目撃
2017-04-28,18:40,南区,南区藻岩山スキｰ場うさぎ平リフト付近,43.021258,141.328183,ヒグマを目撃
2017-05-02,08:30,南区,南区定山渓無番地(札幌岳),42.92798586,141.1635824,ヒグマを目撃
2017-05-03,05:30,南区,南区自然歩道:中の沢～小林峠･源八沢ルｰト(小林峠入口から砥石山山頂方面に約500mの地点),43.0143021,141.292213,ヒグマを目撃
2017-05-13,07:45,中央区,中央区盤渓450番地付近(盤渓市民の森入口手前50m地点),43.020367,141.284531,ヒグマを目撃
2017-05-15,11:30,南区,南区豊滝市民の森(案内板11番から12番方向に約20m),42.94043081,141.2323246,フンを確認
2017-05-15,18:55,南区,南区藻岩山山頂付近,43.02041419,141.3218152,ヒグマを目撃
2017-05-16,07:40,南区,南区簾舞551番地付近,42.93590397,141.260099,ヒグマを目撃
2017-05-18,12:00,南区,南区簾舞355番地付近,42.956172,141.267492,足跡を確認
2017-05-18,21:30,南区,南区藻岩山山頂付近,43.02111881,141.3217173,ヒグマを目撃
2017-05-20,05:00,南区,南区自然歩道:藻岩山ルｰト(山頂から馬の背に向かって約350m地点(27番観音付近)),43.02217906,141.3201224,ヒグマを目撃
2017-05-22,04:30,南区,南区自然歩道:藻岩山ルｰト(山頂から馬の背に向かって約150m地点(30番観音付近)),43.02292813,141.3210856,ヒグマを目撃
2017-05-22,09:00,南区,南区簾舞20番地付近,42.9475777,141.2741886,ヒグマを目撃
2017-05-22,09:20,南区,南区藻岩山山頂付近,43.0208145,141.3217347,被毛を確認
2017-05-24,18:45,南区,南区定山渓937番地(札幌国際スキｰ場から定山渓側へ300m付近),43.07517068,141.0878287,ヒグマを目撃
2017-05-24,19:00,南区,南区中ノ沢1812番地付近,42.9952698,141.3106793,ヒグマを目撃
2017-05-24,22:00,南区,南区南沢1838番地付近(硬石山線上),42.9802164,141.3077711,ヒグマを目撃
2017-05-25,09:30,西区,西区手稲山山頂付近(西側がけ地),43.07655295,141.1922133,ヒグマを目撃
2017-05-26,20:48,南区,南区南沢1812番地付近,42.99082945,141.3107627,ヒグマを目撃
2017-05-29,05:00,南区,南区自然歩道:藻岩山ルｰト(馬の背からT6分岐点の方向へ約100m地点),43.02661845,141.3136183,ヒグマを目撃
2017-06-05,11:00,南区,南区白川市民の森(案内板21番から8番方向へ約80mの地点),42.98506695,141.2850015,フンを確認
2017-06-07,14:30,南区,南区簾舞47番地付近,42.94022393,141.2602707,足跡を確認
2017-06-11,05:45,南区,南区真駒内129-9付近,42.960833,141.35817,ヒグマを目撃
2017-06-15,21:28,南区,南区豊滝412番地付近(国道230号上),42.95574455,141.2426994,ヒグマを目撃
2017-06-17,04:00,南区,南区常盤200番地付近,42.91317849,141.3311188,ヒグマを目撃
2017-06-19,04:00,南区,南区常盤200番地付近,42.89664393,141.3286052,足跡、食痕を確認
2017-06-19,10:40,南区,南区豊滝市民の森(案内板5番から13番に向かって約900mの地点),42.93745927,141.2385648,フンを確認
2017-06-20,15:30,南区,南区常盤200番地付近,42.91320226,141.3293796,ヒグマを目撃
2017-06-21,08:00,南区,南区藤野489番地付近,42.94919679,141.2832289,フン、食痕、掘跡を確認
2017-06-27,19:12,南区,南区定山渓無番地(中山峠望岳橋付近),42.87661384,141.1469261,ヒグマを目撃
2017-06-29,11:00,南区,南区藤野489番地付近,42.9491876,141.2833295,フンを確認
2017-07-01,05:00,南区,南区豊滝466番地付近,42.94464836,141.2271855,足跡を確認
2017-07-03,09:00,南区,南区簾舞626番地付近,42.95015485,141.2451415,フン、食痕、被毛を確認
2017-07-06,09:04,南区,南区自然歩道:藻岩山ルｰト(慈啓会病院入口から約450mの位置(5番観音付近)),43.03480375,141.3183868,ヒグマを目撃
2017-07-06,10:30,中央区,中央区盤渓市民の森(案内板2番から1番に向かって約70mの地点),43.02116329,141.2811338,フンを確認
2017-07-07,13:30,南区,南区砥山113番地付近(八剣山登山口付近),42.96095562,141.2433713,ヒグマを目撃
2017-07-07,12:30,南区,南区常盤200番地付近,42.90298375,141.3384195,ヒグマを目撃
2017-07-08,11:00,南区,南区滝野224番地付近,42.908121,141.344735,ヒグマを目撃
