date,precipitation_mm,temp_mean,temp_max,temp_min,humidity_mean,wind_mean_ms,sunshine_h,snowfall_cm,snow_depth_max_cm
2015-06-01,0.0,20.5,27.8,12.8,36,3.6,13.1,0,0
2015-06-02,0.0,18.4,25.5,14.3,58,3.7,4.3,0,0
2015-06-03,35.5,17.6,23.8,14.5,73,3.8,2.4,0,0
2015-06-04,4.0,12.4,16.0,9.5,76,5.7,0.8,0,0
2015-06-05,9.0,10.4,12.9,9.4,80,6.5,0.8,0,0
2015-06-06,0.0,11.5,14.7,9.8,65,5.9,8.2,0,0
2015-06-07,0.0,13.0,16.1,10.3,63,4.0,7.0,0,0
2015-06-08,1.0,17.0,21.6,12.4,62,3.8,2.9,0,0
2015-06-09,4.5,15.5,17.7,13.9,80,8.3,0.4,0,0
2015-06-10,2.0,15.4,19.4,13.3,79,3.9,0.4,0,0
2015-06-11,0.0,13.9,16.7,12.6,85,4.0,0.3,0,0
2015-06-12,0.0,17.4,23.9,11.5,66,4.3,13.9,0,0
2015-06-13,0.0,17.6,21.0,14.6,77,4.4,2.1,0,0
2015-06-14,0.0,17.9,23.2,14.8,75,1.9,6.7,0,0
2015-06-15,0.0,17.7,22.6,14.3,79,2.3,6.3,0,0
2015-06-16,0.0,18.0,22.3,15.3,79,2.2,10.8,0,0
2015-06-17,0.0,21.0,26.3,16.3,65,4.8,13.7,0,0
2015-06-18,0.0,20.2,25.5,15.6,57,5.2,14.0,0,0
2015-06-19,0.0,19.0,24.7,14.8,65,4.7,11.4,0,0
2015-06-20,0.0,16.6,20.8,13.9,77,4.3,8.4,0,0
2015-06-21,0.0,18.4,25.3,12.1,66,2.8,13.5,0,0
2015-06-22,0.0,17.4,22.3,14.1,77,2.2,3.3,0,0
2015-06-23,1.0,16.7,21.1,14.9,88,2.4,0.2,0,0
2015-06-24,3.0,16.4,18.8,14.6,83,1.9,0.0,0,0
2015-06-25,0.0,17.4,20.3,15.1,80,1.8,0.0,0,0
2015-06-26,0.0,19.6,25.9,15.7,74,2.7,6.4,0,0
2015-06-27,0.0,17.8,20.2,15.5,70,2.9,0.1,0,0
2015-06-28,2.5,15.1,18.3,12.0,77,1.5,0.0,0,0
2015-06-29,0.0,15.5,17.9,13.3,84,1.8,0.0,0,0
2015-06-30,4.0,15.8,17.1,14.6,86,4.7,0.0,0,0
2015-07-01,5.5,17.0,19.7,15.6,84,4.8,0.0,0,0
2015-07-02,1.0,18.6,24.0,15.0,76,4.3,4.8,0,0
2015-07-03,0.0,17.8,23.4,15.2,69,3.9,7.8,0,0
2015-07-04,0.0,16.2,19.4,14.8,76,2.6,1.7,0,0
2015-07-05,0.0,18.1,23.1,14.8,71,3.2,10.0,0,0
2015-07-06,0.0,19.1,25.2,16.1,71,2.5,9.2,0,0
2015-07-07,3.5,16.7,22.1,14.2,74,5.2,3.6,0,0
2015-07-08,0.0,15.7,18.6,13.5,63,4.3,10.0,0,0
2015-07-09,0.0,18.2,25.4,11.5,62,2.1,13.7,0,0
2015-07-10,0.0,19.6,27.0,13.8,66,2.2,14.0,0,0
2015-07-11,0.0,22.0,30.7,15.4,62,2.0,13.7,0,0
2015-07-12,0.0,24.8,31.3,19.4,60,1.8,11.3,0,0
2015-07-13,0.0,23.8,26.7,20.9,61,3.6,0.4,0,0
2015-07-14,1.0,25.5,30.9,20.4,68,4.9,6.4,0,0
2015-07-15,0.0,17.0,22.8,14.2,73,5.5,3.3,0,0
2015-07-16,0.0,16.9,20.6,14.6,63,5.0,10.5,0,0
2015-07-17,0.0,21.3,28.3,13.2,54,2.1,13.3,0,0
2015-07-18,14.5,21.2,24.7,18.8,75,2.1,0.0,0,0
2015-07-19,12.5,21.5,26.1,18.8,84,2.0,2.3,0,0
2015-07-20,0.0,22.2,27.4,19.6,74,2.3,6.6,0,0
2015-07-21,17.5,22.2,25.9,19.9,80,2.5,0.2,0,0
2015-07-22,3.0,23.6,28.1,21.3,86,3.2,0.1,0,0
2015-07-23,0.0,23.9,27.9,21.8,86,2.1,2.2,0,0
2015-07-24,0.0,23.1,27.8,20.4,82,2.7,5.3,0,0
2015-07-25,3.5,23.0,25.4,21.8,84,4.3,0.0,0,0
2015-07-26,2.0,23.1,26.1,21.6,86,2.9,0.4,0,0
2015-07-27,0.0,25.1,29.8,21.9,79,2.0,6.3,0,0
2015-07-28,0.0,25.1,28.8,22.4,77,2.3,8.6,0,0
2015-07-29,0.0,25.0,28.7,21.9,79,1.8,4.8,0,0
2015-07-30,0.0,25.4,29.9,22.3,77,1.9,3.5,0,0
2015-07-31,0.0,26.4,30.0,23.4,74,2.7,1.0,0,0
2015-08-01,1.0,23.3,27.3,21.1,78,4.4,6.7,0,0
2015-08-02,0.0,23.5,29.0,19.3,70,2.2,10.5,0,0
2015-08-03,0.0,23.9,27.8,19.5,75,2.2,4.0,0,0
2015-08-04,0.0,26.6,31.9,22.5,71,3.7,8.1,0,0
2015-08-05,0.0,27.9,34.5,24.0,65,3.1,6.5,0,0
2015-08-06,4.5,24.7,26.5,23.7,87,2.2,0.0,0,0
2015-08-07,72.0,23.7,28.2,21.2,79,2.2,6.0,0,0
2015-08-08,0.0,23.1,26.7,20.4,70,3.9,11.6,0,0
2015-08-09,0.0,24.0,27.8,20.1,70,4.3,10.6,0,0
2015-08-10,0.0,25.5,29.5,23.0,77,3.5,3.1,0,0
2015-08-11,17.5,24.1,26.9,22.2,82,2.1,3.0,0,0
2015-08-12,0.0,23.6,27.8,20.4,80,2.4,4.7,0,0
2015-08-13,0.0,23.7,28.2,20.4,76,2.0,5.7,0,0
2015-08-14,0.0,24.0,28.7,20.3,68,3.3,10.3,0,0
2015-08-15,4.5,22.8,25.4,20.6,79,1.8,1.3,0,0
2015-08-16,5.0,23.0,26.4,20.5,79,1.6,2.5,0,0
2015-08-17,0.0,23.5,27.5,19.8,74,4.2,8.5,0,0
2015-08-18,20.0,18.4,22.5,16.4,87,2.2,0.0,0,0
2015-08-19,3.0,19.4,23.6,16.5,81,4.1,4.7,0,0
2015-08-20,1.0,20.5,23.3,17.5,77,2.6,2.0,0,0
2015-08-21,0.0,21.7,26.0,16.9,73,1.8,5.5,0,0
2015-08-22,0.0,23.2,27.7,20.0,72,2.7,8.4,0,0
2015-08-23,0.0,21.0,24.2,18.5,70,3.2,2.2,0,0
2015-08-24,0.0,20.5,25.4,16.0,63,2.6,6.0,0,0
2015-08-25,0.0,19.6,26.3,14.7,55,2.0,11.8,0,0
2015-08-26,0.0,19.4,21.7,17.1,65,6.1,0.1,0,0
2015-08-27,3.0,19.9,22.1,18.3,72,4.4,0.0,0,0
2015-08-28,0.0,19.6,23.0,17.8,65,3.5,0.0,0,0
2015-08-29,0.0,19.8,24.9,16.7,66,4.0,8.3,0,0
2015-08-30,0.0,19.8,23.5,15.3,71,2.9,5.5,0,0
2015-08-31,0.0,21.8,25.0,19.4,74,1.8,1.0,0,0
2015-09-01,0.0,21.8,26.3,17.9,73,1.9,9.3,0,0
2015-09-02,85.0,19.6,21.9,18.4,82,4.0,0.0,0,0
2015-09-03,0.0,22.5,27.0,16.5,67,2.3,6.3,0,0
2015-09-04,14.5,19.8,22.8,17.8,79,3.2,0.0,0,0
2015-09-05,0.0,18.1,22.5,15.2,67,3.0,7.0,0,0
2015-09-06,0.0,17.7,21.5,13.6,67,1.7,3.9,0,0
2015-09-07,0.0,19.4,24.6,14.7,67,2.0,9.0,0,0
2015-09-08,0.0,19.7,25.1,15.9,64,2.1,9.7,0,0
2015-09-09,1.5,19.0,22.0,15.3,62,2.0,1.4,0,0
2015-09-10,0.0,20.6,23.9,15.5,63,7.4,0.4,0,0
2015-09-11,0.0,21.9,26.0,19.7,67,2.8,3.8,0,0
2015-09-12,1.0,20.8,23.3,18.5,74,2.7,0.4,0,0
2015-09-13,15.0,15.9,18.6,13.7,85,1.7,0.0,0,0
2015-09-14,6.5,15.7,21.6,11.5,78,1.4,6.2,0,0
2015-09-15,0.0,16.9,22.9,11.5,67,2.3,10.9,0,0
2015-09-16,0.0,18.4,24.0,12.6,71,2.3,10.3,0,0
2015-09-17,0.0,18.8,23.1,15.5,62,2.9,11.3,0,0
2015-09-18,6.0,16.9,20.3,14.8,76,2.2,0.0,0,0
2015-09-19,13.0,16.5,19.9,14.7,82,1.1,0.1,0,0
2015-09-20,0.5,18.4,21.9,16.1,77,3.7,6.7,0,0
2015-09-21,0.0,18.7,24.1,14.1,75,1.6,6.8,0,0
2015-09-22,0.0,19.3,24.5,14.9,75,2.5,9.6,0,0
2015-09-23,0.0,19.3,26.2,14.1,71,1.6,11.0,0,0
2015-09-24,0.0,19.0,23.5,14.7,73,3.1,4.2,0,0
2015-09-25,0.0,18.8,22.5,16.6,69,4.4,7.0,0,0
2015-09-26,1.5,18.1,20.7,16.6,76,4.0,0.3,0,0
2015-09-27,8.0,17.8,21.8,14.0,73,3.1,4.7,0,0
2015-09-28,3.0,15.3,18.7,12.3,67,3.0,1.9,0,0
2015-09-29,29.5,12.9,16.6,10.0,68,4.4,3.9,0,0
2015-09-30,13.0,13.4,17.9,9.8,62,4.8,5.7,0,0
2015-10-01,2.0,14.7,18.5,8.8,69,5.8,4.7,0,0
2015-10-02,10.0,15.4,21.7,11.7,59,6.4,3.7,0,0
2015-10-03,2.0,14.2,18.6,9.5,48,4.2,9.6,0,0
2015-10-04,0.0,11.8,15.2,8.2,57,3.1,3.9,0,0
